arabic_word,meaning_korean,meaning_primary,example_sentence,sentence_meaning,chapter,root,verb_form,pattern,level,source
آثَارٌ,유적,유적,فِيهَا آثَارٌ قَدِيمَةٌ وَعَرِيقَةٌ.,그곳에는 오래되고 유서 깊은 (유적)들이 있다.,,,0,,1,sample_words
آسِيَا,아시아,아시아,وَبَعْضُهُمُ الْآخَرُ مِنْ آسِيَا.,그들 중 다른 일부는 (아시아) 출신이다.,,,0,,1,sample_words
آيَاتٍ,구절,구절,تَلَا الْإِمَامُ آيَاتٍ مِنَ الْقُرْآنِ.,이맘은 꾸란 (구절)들을 낭송했다.,,,0,,1,sample_words
أَبَدًا,절대,절대,لَا أَكُلُ الطَّعَامَ الدَّسِمَ أَبَدًا.,나는 기름진 음식을 (절대) 먹지 않는다.,,,0,,1,sample_words
أَبُو,아버지,아버지,أَبُو مُحَمَّدٍ.,무함마드의 (아버지).,,,0,,1,sample_words
أَبْحَثُ,찾고,찾고,أَبْحَثُ عَنْ عَمَلٍ جَدِيدٍ.,나는 새 일자리를 (찾고) 있다.,,,0,,1,sample_words
أَبْنِيَةٌ,건물,건물,أَمَامَ الْبِنَاءِ هُنَاكَ أَبْنِيَةٌ.,(건물) 앞에 건물들이 있다.,,,0,,1,sample_words
أَتَأَخَّرَ,늦지,늦지,حَتَّى لَا أَتَأَخَّرَ فِي الْمَوْعِدِ.,약속에 (늦지) 않기 위해.,,,0,,1,sample_words
أَتَمَكَّنُ,수있다,수있다,أَتَمَكَّنُ مِنْ أَنْ أَكْتُبَ رِسَالَةً لَكَ بِالْعَرَبِيَّةِ.,나는 너에게 아랍어로 편지를 쓸 (수 있다).,,,0,,1,sample_words
أَتَمَكَّنْ,수없었다,수없었다,لَمْ أَتَمَكَّنْ مِنْ أَنْ أَذْهَبَ إِلَى الْمَدْرَسَةِ بِسَبَبِ مَرَضِي.,나는 병 때문에 학교에 갈 (수 없었다).,,,0,,1,sample_words
أَتَمَنَّى,바란다,바란다,أَتَمَنَّى أَنْ تَحْصُلَ عَلَى دَرَجَاتٍ جَيِّدَةٍ فِي الِامْتِحَانِ.,나는 네가 시험에서 좋은 성적을 받기를 (바란다).,,,0,,1,sample_words
أَتَنَاوَلُ,다룹니다,다룹니다,أَتَنَاوَلُ فِي مَقَالَاتِي الْوَضْعَ السِّيَاسِيَّ.,나는 내 기사에서 정치적 상황을 (다룹니다).,,,0,,1,sample_words
أَثَّرَتِ,영향을미쳤다,영향을미쳤다,أَثَّرَتِ الْمُوسِيقَى فِي نُفُوسِ النَّاسِ تَأْثِيرًا إِيجَابِيًّا.,음악은 사람들의 마음에 긍정적인 (영향을 미쳤다).,,,0,,1,sample_words
أَثْقَلُ,더무거운,더무거운,حَقِيبَتِي أَثْقَلُ مِنْ حَقِيبَتِكَ.,내 가방은 네 가방보다 (더 무거운) 것이다.,,,0,,1,sample_words
أَثْنَاءَ,동안,동안,أَثْنَاءَ دِرَاسَتِي قَابَلْتُ بَعْضَ الْأَصْدِقَاءِ.,공부하는 (동안) 나는 몇몇 친구들을 만났다.,,,0,,1,sample_words
أَجَّلَ,연기했다,연기했다,أَجَّلَ عَمَلَ الْيَوْمِ إِلَى الْغَدِ.,그는 오늘 할 일을 내일로 (연기했다).,,,0,,1,sample_words
أَجْدَدُ,더새로운,더새로운,أَلْبَيْتُ الْأَبْيَضُ أَجْدَدُ.,그 하얀 집이 (더 새로운) 것이다.,,,0,,1,sample_words
أَجْرًا,보수,보수,كَانَ لَا يَطْلُبُ أَجْرًا عَلَى عَمَلِهِ.,그는 자신의 일에 대해 (보수/대가)를 요구하지 않았다.,,,0,,1,sample_words
أَجْمَعُ,모으고,모으고,لِذٰلِكَ أَجْمَعُ مَعْلُومَاتٍ سِيَاحِيَّةً عَنْهَا.,그래서 나는 그곳에 대한 여행 정보를 (모으고) 있다.,,,0,,1,sample_words
أَجْمَلُ,가장아름다운,가장아름다운,فَصْلُ الْخَرِيفِ هُوَ الْفَصْلُ الْأَجْمَلُ.,가을은 (가장 아름다운) 계절이다.,,,0,,1,sample_words
أَجْنَبِيٍّ,외국인,외국인,عَرَفْتُ أَنَّ جَرِيدَتَنَا بِحَاجَةٍ إِلَى مُرَاسِلٍ أَجْنَبِيٍّ.,나는 우리 신문사가 (외국인) 기자를 필요로 한다는 것을 알았다.,,,0,,1,sample_words
أَجْنَبِيَّةٌ,외국인,외국인,فِي الصَّفِّ هُنَاكَ طَالِبَةٌ أَجْنَبِيَّةٌ.,교실에 (외국인) 여학생이 한 명 있다.,,,0,,1,sample_words
أَحَدًا,누군가,누군가,أَلَّا تَعْرِفُ أَحَدًا فِي هٰذِهِ الشَّرِكَةِ؟,이 회사에 (누군가) 아는 사람이 없니?,,,0,,1,sample_words
أَحَدٌ,아무도,아무도,لَا يُوجَدُ أَحَدٌ فِي الصَّفِّ.,교실에 (아무도) 없다.,,,0,,1,sample_words
أَحَدُ,한명,한명,حَضَرَ أَحَدُ الْمُرَاسِلِينَ الِاجْتِمَاعَ.,기자들 중 (한 명)이 회의에 왔다.,,,0,,1,sample_words
أَحْضَرَ,가져왔다,가져왔다,أَحْضَرَ الْمَاءَ.,그는 물을 (가져왔다).,,,0,,1,sample_words
أَحْلَى,더달콤한,더달콤한,التُّفَّاحُ أَحْلَى مِنَ اللَّيْمُونِ.,사과는 레몬보다 (더 달콤한) 것이다.,,,0,,1,sample_words
أَخِي,형제,형제,سَيَّارَةُ أَخِي.,내 (형제)의 차.,,,0,,1,sample_words
أَخِيرًا,마침내,마침내,وَأَخِيرًا حَصَلَ عَلَى شَهَادَةِ الدُّكْتُورَاه.,그리고 (마침내) 그는 박사 학위를 취득했다.,,,0,,1,sample_words
أَخْبَرَ,알렸다,알렸다,أَخْبَرَ صَدِيقَهُ بِالْخَبَرِ.,그는 친구에게 소식을 (알렸다).,,,0,,1,sample_words
أَخْبَرَنِي,알려주었다,알려주었다,أَخْبَرَنِي بِزِيَارَةِ الْأُسْتَاذِ فَذَهَبْتُ إِلَى الْمَطَارِ.,그는 나에게 교수님의 방문을 (알려주었다) 그래서 나는 공항으로 갔다.,,,0,,1,sample_words
أَخْذِ,찍는,찍는,مَا رَأْيُكَ فِي أَخْذِ صُوَرٍ تَذْكَارِيَّةٍ؟,기념 사진을 (찍는) 것에 대한 당신의 의견은 무엇입니까?,,,0,,1,sample_words
أَخْرَجَ,꺼냈다,꺼냈다,أَخْرَجَ الْكِتَابَ مِنَ الْحَقِيبَةِ.,그는 가방에서 책을 (꺼냈다).,,,0,,1,sample_words
أَخْرُجُ,나간다,나간다,ثُمَّ أَخْرُجُ مِنَ الْبَيْتِ السَّاعَةَ الثَّامِنَةَ وَالنِّصْفَ.,그리고 나서 8시 반에 집에서 (나간다).,,,0,,1,sample_words
أَدَّخِرُ,저축한다,저축한다,أَدَّخِرُ جُزْءًا مِنْ رَاتِبِي كُلَّ شَهْرٍ لِلطَّوَارِئِ.,나는 비상시를 위해 매달 내 월급의 일부를 (저축한다). (d-kh-r -> iddakhara),,,0,,1,sample_words
أَدْرُسْ,공부하지,공부하지,لَمْ أَدْرُسْ دَرْسًا جَدِيدًا فِي الْكِتَابِ.,나는 책의 새 과를 (공부하지) 않았다.,,,0,,1,sample_words
أَدْعُو,초대한다,초대한다,أَدْعُو صَدِيقِي إِلَى الْعَشَاءِ.,나는 내 친구를 저녁 식사에 (초대한다).,,,0,,1,sample_words
أَذْهَبُ,간다,간다,أَذْهَبُ إِلَيْكَ.,나는 네게 (간다).,,,0,,1,sample_words
أَرَى,본다,본다,أَرَى صَدِيقِي يَشْرَبُ الشَّايَ.,나는 내 친구가 차를 마시는 것을 (본다).,,,0,,1,sample_words
أَرْبَعَةِ,4일,4일,سَيَبْدَأُ اخْتِبَارُ الْكُورِيَّةِ بَعْدَ أَرْبَعَةِ أَيَّامٍ.,한국어 시험이 (4일) 뒤에 시작될 것이다.,,,0,,1,sample_words
أَرْبَعُمِئَةِ,400권,400권,أَرْبَعُمِئَةِ كِتَابٍ.,(400권)의 책.,,,0,,1,sample_words
أَرْجُو,바란다,바란다,أَرْجُو لَكَ رِحْلَةً سَعِيدَةً.,나는 네가 즐거운 여행을 하길 (바란다). (I hope),,,0,,1,sample_words
أَرْجِعُ,돌아온다,돌아온다,أَرْجِعُ إِلَى الْبَيْتِ السَّاعَةَ السَّادِسَةَ مَسَاءً.,나는 저녁 6시에 집으로 (돌아온다).,,,0,,1,sample_words
أَرْجِعْ,돌아가지,돌아가지,لَمْ أَرْجِعْ إِلَى بَلَدِي بَعْدَ زِيَارَةِ لَنْدَن.,나는 런던 방문 후에 내 나라로 (돌아가지) 않았다.,,,0,,1,sample_words
أَرْحَبَ,환영할,환영할,لَنْ أَرْحَبَ بِهِ وَإِنْ كَانَ وَزِيرًا.,그가 장관(일지라도) 나는 그를 환영하지 않을 것이다.,,,0,,1,sample_words
أَرْسَلَ,보냈다,보냈다,أَرْسَلَ الرِّسَالَةَ.,그는 편지를 (보냈다).,,,0,,1,sample_words
أَرْكَبُ,탄다,탄다,أَرْكَبُ دَرَّاجَةً فِي الْحَدِيقَةِ.,나는 공원에서 자전거를 (탄다).,,,0,,1,sample_words
أَزُورُ,방문한다,방문한다,أَزُورُ الْقَاهِرَةَ قَرِيبًا.,나는 곧 카이로를 (방문한다).,,,0,,1,sample_words
أَزْعَجَ,귀찮게했다,귀찮게했다,أَزْعَجَ الْجِيرَانَ.,그는 이웃들을 (귀찮게 했다/방해했다).,,,0,,1,sample_words
أَسَاسِيَّةٌ,기본,기본,هٰذِهِ جُمْلَةٌ أَسَاسِيَّةٌ.,이것은 (기본) 문장이다.,,,0,,1,sample_words
أَسْتَطِعْ,수없었다,수없었다,لَمْ أَسْتَطِعْ أَنْ أُغَيِّرَ أُسْلُوبَ حَيَاتِي.,나는 내 생활 방식을 바꿀 (수 없었다).,,,0,,1,sample_words
أَسْتَطِيعُ,수있다,수있다,أَسْتَطِيعُ (يُمْكِنُنِي) أَنْ أَزُورَكَ السَّاعَةَ الثَّانِيَةَ غَدًا.,나는 내일 2시에 너를 방문할 (수 있다).,,,0,,1,sample_words
أَسْتَمْتِعُ,즐긴다,즐긴다,أَسْتَمْتِعُ بِسَمَاعِ الْمُوسِيقَى.,나는 음악 듣기를 (즐긴다).,,,0,,1,sample_words
أَسْتَيْقِظُ,일어난다,일어난다,أَسْتَيْقِظُ السَّاعَةَ التَّاسِعَةَ صَبَاحًا.,나는 아침 9시에 (일어난다).,,,0,,1,sample_words
أَسْرَعَ,서둘렀다,서둘렀다,أَسْرَعَ فِي الْمَشْيِ.,그는 걷는 것을 (서둘렀다).,,,0,,1,sample_words
أَسْرَعُ,더빠른,더빠른,هٰذِهِ السَّيَّارَةُ أَسْرَعُ.,이 자동차가 (더 빠른) 것이다.,,,0,,1,sample_words
أَسْرَعْتُ,서둘렀다,서둘렀다,أَسْرَعْتُ فِي تَنْظِيفِ الْبَيْتِ.,나는 집 청소를 (서둘렀다).,,,0,,1,sample_words
أَسْعَدَ,기쁘게했다,기쁘게했다,أَسْعَدَ بِنْتَهُ.,그는 그의 딸을 (기쁘게 했다).,,,0,,1,sample_words
أَسْكُنُ,산다,산다,أَسْكُنُ فِي مَدِينَةِ بُوسَان.,나는 부산시에 (산다).,,,0,,1,sample_words
أَسْمَعُ,듣고,듣고,كُنْتُ أَسْمَعُ الْأَخْبَارَ فِي ذٰلِكَ الْوَقْتِ.,나는 그 때 뉴스를 (듣고) 있었다.,,,0,,1,sample_words
أَشْبَهَ,닮았다,닮았다,أَشْبَهَ أَبَاهُ.,그는 그의 아버지를 (닮았다).,,,0,,1,sample_words
أَشْعُرُ,느끼게,느끼게,الْمُوسِيقَى تَجْعَلُنِي أَشْعُرُ بِالرَّاحَةِ.,음악은 나를 편안하게 (느끼게) 해준다.,,,0,,1,sample_words
أَشْكُرُكَ,감사한다,감사한다,أَشْكُرُكَ جَزِيلَ الشُّكْرِ عَلَى قَبُولِ الدَّعْوَةِ.,초대를 수락해 주셔서 대단히 (감사한다).,,,0,,1,sample_words
أَشْيَاءُ,일,일,تَحْدُثُ أَشْيَاءُ كَثِيرَةٌ فِي حَيَاتِنَا.,우리 삶에는 많은 (일)들이 일어난다.,,,0,,1,sample_words
أَصَابَ,맞혔다,맞혔다,أَصَابَ الْهَدَفَ.,그는 목표물을 (맞혔다).,,,0,,1,sample_words
أَصْبَحَ,되었다,되었다,أَصْبَحَ طَبِيبًا.,그는 의사가 (되었다).,,,0,,1,sample_words
أَصْبَحَتِ,하게되었다,하게되었다,أَصْبَحَتِ الْحُكُومَةُ تُشَارِكُ فِي بِنَاءِ الْمَصَانِعِ.,정부는 공장 건설에 참여(하게 되었다). (상태 변화),,,0,,1,sample_words
أَصْبَحَتْ,되었다,되었다,أَصْبَحَتْ سَمِيرَةُ مُدَرِّسَةً فِي الْمَدْرَسَةِ الِابْتِدَائِيَّةِ.,사미라는 초등학교 선생님이 (되었다).,,,0,,1,sample_words
أَصْحُو,일어난다,일어난다,أَصْحُو صَبَاحًا.,나는 아침에 (일어난다).,,,0,,1,sample_words
أَصْدَرَ,출판했다,출판했다,أَصْدَرَ كِتَابًا جَدِيدًا.,그는 새 책을 (출판했다/발행했다).,,,0,,1,sample_words
أَصْلَحَ,수리했다,수리했다,أَصْلَحَ السَّيَّارَةَ.,그는 자동차를 (수리했다).,,,0,,1,sample_words
