root,verb_form,verb_form_label,pattern,nuance_korean,arabic_word,meaning_korean,verified,meaning_primary,meaning_secondary,nuance_kr,example_sentence,sentence_meaning,level
-ج-ب,1,1형,فَعَلَ,기본형,َجَبَ,,Y,필요하다,마땅하다; 당연하다; 필요로 하다,"주로 자동사적 의미를 가지며, 당위성이나 필연성을 나타냄",وَجَبَ عَلَيْنَا الْعَمَلُ بِجِدٍّ.,우리는 열심히 일해야 한다.,1
-ج-ب,2,2형,فَعَّلَ,사동/강조,َجَّبَ,,Y,필요하게 하다,의무화하다; 강요하다,주로 추상적인 대상에 대해 강한 필요성을 부여하는 타동사적 의미를 가짐,اَللهُ وَرَسُولُهُ أَوَجَبَا عَلَيْنَا الزَّكَاةَ.,알라와 그의 사도가 우리에게 자카트(의무적인 기부)를 의무화했습니까?,1
-ج-ب,3,3형,فَاعَلَ,상호동작,َاجَبَ,,Y,대응하다,응답하다; 대답하다; 맞서다,주로 상호적인 행동이나 관계를 나타내는 3형 동사,حَاوَلَ الْجَيْشُ أَنْ يُوَاجِبَ الْعَدُوَّ.,군대는 적에게 맞서려고 노력했다.,1
-ج-ب,4,4형,أَفْعَلَ,사역형,أَْجَبَ,,Y,대답하다,응하다; 들어주다,"타동사적 의미를 가지며, 요청이나 부름에 대한 응답을 나타냄",أَجَابَ الْمُتَّهَمُ عَلَى السُّؤَالِ بِوُضُوحٍ.,피고는 질문에 명확하게 대답했다.,1
-ج-ب,5,5형,تَفَعَّلَ,재귀(2형),تََجَّبَ,,Y,치즈가 되다,응고되다; 굳어지다; 없음,주로 액체가 고체 상태로 변하는 과정을 나타냄,تَجَبَّنَ الْحَلِيبُ فِي الْقِدْرِ بَعْدَ الْغَلَيَانِ.,우유가 끓고 나서 냄비 안에서 치즈처럼 굳어졌다.,1
-ج-ب,6,6형,تَفَاعَلَ,상호재귀,تََاجَبَ,,N,서로 응답하다,서로 대답하다; 서로 긍정적으로 반응하다,"주로 상호적인 의미를 가지며, 자동사로 사용됨",تَاجَابَ الطُّلَّابُ بِحَمَاسَةٍ فِي الْفَصْلِ.,학생들은 교실에서 열정적으로 서로 응답했다.,1
-ج-ب,7,7형,اِنْفَعَلَ,수동형,اِنَْجَبَ,,Y,초래되다,발생되다; 생기다; 없음,"주로 수동적 의미를 가지며, 어떤 결과나 상황이 나타남을 나타냄",اِنَْجَبَ عَنْ ذٰلِكَ خِلافٌ شَدِيدٌ.,그것으로 인해 심각한 논쟁이 초래되었다.,1
-ج-ب,8,8형,اِفْتَعَلَ,재귀/중간태,اِْتَجَبَ,,N,응답하다,대답하다; 응수하다,주로 요청이나 질문에 대한 반응을 나타내는 8형 동사,اِتَّجَبَ ٱلْمُتَّهَمُ بِٱلِٱعْتِرَافِ.,피고인은 자백으로 응답했다.,1
-ج-ب,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَْجَبَ,,N,응답하다,요청을 들어주다; 수락하다,주로 신(神)의 응답이나 기원 수락을 나타내는 데 사용됨,اِسْتَجَابَ اللهُ دُعَاءَ المُؤْمِنِينَ.,알라께서 신자들의 기도를 들어주셨다.,1
-ز-ل,1,1형,فَعَلَ,기본형,َزَلَ,,Y,미끄러지다,실패하다; 벗어나다,"주로 자동사로 사용되며, 물리적 미끄러짐 외에 추상적인 실패나 실수에도 사용됨",زَلَّتْ قَدَمُهُ عَنِ الطَّريقِ.,그의 발이 길에서 미끄러졌다.,1
-ز-ل,2,2형,فَعَّلَ,사동/강조,َزَّلَ,,Y,미끄러뜨리다,실각시키다; 잘못을 저지르게 하다,"주로 타동사로 사용되며, 직접적인 물리적 행위 뿐 아니라 비유적인 의미로도 사용됨.",زَلَّلَهُ الشَّيْطَانُ فَوَقَعَ فِي الْخَطِيئَةِ,악마가 그를 미끄러뜨려 죄에 빠지게 했다.,1
-ز-ل,3,3형,فَاعَلَ,상호동작,َازَلَ,,Y,제거하다,분리하다; 중단하다,주로 상호 작용 또는 반복적인 제거의 의미를 내포함,اَزَالَ ٱلْحَاجِزَ بَيْنَ ٱلْمَدِينَتَيْنِ.,그는 두 도시 사이의 장벽을 제거했다.,1
-ز-ل,4,4형,أَفْعَلَ,사역형,أَْزَلَ,,Y,내리다,풀어주다; 보내다; 제거하다,"사동형 동사로, 직접적인 행위보다는 결과를 강조하는 경향이 있음",أَنْزَلَ اللَّهُ الْمَاءَ مِنَ السَّمَاءِ,알라께서 하늘에서 물을 내리셨다.,1
-ز-ل,5,5형,تَفَعَّلَ,재귀(2형),تََزَّلَ,,Y,미끄러지다,넘어지다; 실족하다,주로 갑작스럽거나 의도치 않은 움직임을 나타내는 자동사적 의미,تَزَلَّجَ الْوَلَدُ عَلَى الْجَلِيدِ فَتَزَلَّلَ.,아이가 얼음 위에서 스케이트를 타다가 미끄러졌다.,1
-ز-ل,6,6형,تَفَاعَلَ,상호재귀,تََازَلَ,,N,경쟁하다,다투다; 겨루다,"Form VI은 주로 상호 작용, 경쟁, 혹은 모방의 의미를 나타냅니다.",تَتَازَلَ الفَرِيقَانِ بِشِدَّةٍ عَلَى الفَوْزِ.,두 팀은 승리를 위해 치열하게 경쟁했다.,1
-ز-ل,7,7형,اِنْفَعَلَ,수동형,اِنَْزَلَ,,Y,미끄러지다,내려오다; 떨어지다,자발적인 움직임보다는 갑작스럽거나 통제되지 않는 움직임을 나타냄,اِنْزَلَقَ الْقَلَمُ مِنْ يَدِي سَرِيعًا.,펜이 내 손에서 빠르게 미끄러졌다.,1
-ز-ل,8,8형,اِفْتَعَلَ,재귀/중간태,اِْتَزَلَ,,N,떠나다,피하다; 은퇴하다,"주로 자발적인 행위, 자기를 분리하는 행위에 사용됨",اِعْتَزَلَ الشَّاعِرُ النَّاسَ فِي الْجَبَلِ.,시인은 산에서 사람들을 떠났다.,1
-ز-ل,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَْزَلَ,,N,미끄러뜨리다,실각시키다; 유혹하다,"주로 타동사적 의미로, 물리적/비유적으로 '넘어지게 하다'의 의미를 가짐. 강한 의지를 내포.",اِسْتَزَلَّهُ الشَّيْطَانُ بِالْوَسَاوِسِ.,악마가 속삭임으로 그를 미끄러뜨렸다.,1
-م-ك,1,1형,فَعَلَ,기본형,َمَكَ,,N,억제하다,붙잡다; 제지하다; 막다,"타동사로, 물리적 또는 추상적인 대상을 억제하거나 제지하는 의미를 가짐",مَنَعَ الْأَبُ ابْنَهُ عَنِ اللَّعِبِ.,아버지는 아들을 노는 것으로부터 막았다.,1
-م-ك,2,2형,فَعَّلَ,사동/강조,َمَّكَ,,N,소유하다,지배하다; 통제하다,"타동사적으로, 강한 소유나 지배의 의미를 나타냄",يُمَكِّنُ اللَّهُ الْمُؤْمِنَ فِي الْأَرْضِ.,알라는 신실한 자들을 땅에서 소유하게 하신다.,1
-م-ك,3,3형,فَاعَلَ,상호동작,َامَكَ,,Y,논쟁하다,다투다; 반박하다; 없음,Form 3은 상호 작용 또는 경쟁적 관계를 나타내는 경우가 많음,جَادَلَكَ الْمُدَّعِي أَمَامَ الْقَاضِي.,원고는 판사 앞에서 당신과 논쟁했습니다.,1
-م-ك,4,4형,أَفْعَلَ,사역형,أَْمَكَ,,Y,가능하게 하다,허용하다; 권한을 주다; 없음,주로 추상적인 대상이나 상황에 대해 가능성이나 권한을 부여하는 타동사로 사용됨,أَمْكَنَ اللهُ المُؤْمِنَ مِنَ النَّصْرِ.,알라께서 신자에게 승리를 가능하게 하셨다.,1
