root,verb_form,verb_form_label,pattern,nuance_korean,arabic_word,meaning_korean,verified
-ج-ب,1,1형,فَعَلَ,기본형,َجَبَ,,Y
-ج-ب,2,2형,فَعَّلَ,사동/강조,َجَّبَ,,Y
-ج-ب,3,3형,فَاعَلَ,상호동작,َاجَبَ,,Y
-ج-ب,4,4형,أَفْعَلَ,사역형,أَْجَبَ,,Y
-ج-ب,5,5형,تَفَعَّلَ,재귀(2형),تََجَّبَ,,Y
-ج-ب,6,6형,تَفَاعَلَ,상호재귀,تََاجَبَ,,N
-ج-ب,7,7형,اِنْفَعَلَ,수동형,اِنَْجَبَ,,Y
-ج-ب,8,8형,اِفْتَعَلَ,재귀/중간태,اِْتَجَبَ,,N
-ج-ب,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَْجَبَ,,N
-ز-ل,1,1형,فَعَلَ,기본형,َزَلَ,,Y
-ز-ل,2,2형,فَعَّلَ,사동/강조,َزَّلَ,,Y
-ز-ل,3,3형,فَاعَلَ,상호동작,َازَلَ,,Y
-ز-ل,4,4형,أَفْعَلَ,사역형,أَْزَلَ,,Y
-ز-ل,5,5형,تَفَعَّلَ,재귀(2형),تََزَّلَ,,Y
-ز-ل,6,6형,تَفَاعَلَ,상호재귀,تََازَلَ,,N
-ز-ل,7,7형,اِنْفَعَلَ,수동형,اِنَْزَلَ,,Y
-ز-ل,8,8형,اِفْتَعَلَ,재귀/중간태,اِْتَزَلَ,,N
-ز-ل,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَْزَلَ,,N
-م-ك,1,1형,فَعَلَ,기본형,َمَكَ,,N
-م-ك,2,2형,فَعَّلَ,사동/강조,َمَّكَ,,N
-م-ك,3,3형,فَاعَلَ,상호동작,َامَكَ,,Y
-م-ك,4,4형,أَفْعَلَ,사역형,أَْمَكَ,,Y
-م-ك,5,5형,تَفَعَّلَ,재귀(2형),تََمَّكَ,,Y
-م-ك,6,6형,تَفَاعَلَ,상호재귀,تََامَكَ,,Y
-م-ك,7,7형,اِنْفَعَلَ,수동형,اِنَْمَكَ,,Y
-م-ك,8,8형,اِفْتَعَلَ,재귀/중간태,اِْتَمَكَ,,Y
-م-ك,10,10형,اِسْتَفْعَلَ,신청/요구,اِسْتَْمَكَ,,N
ء-ث-ر,1,1형,فَعَلَ,기본형,ءَثَرَ,,N
ء-ث-ر,2,2형,فَعَّلَ,사동/강조,ءَثَّرَ,,N
