id,level,type,arabic_text,korean_meaning,singular_form,root,gender,pattern
30001,3,plural_pair,كُتُبٌ,책들,كِتَابٌ,ك-ت-ب,M,فُعُلٌ
30002,3,plural_pair,أَقْلَامٌ,펜들,قَلَمٌ,ق-ل-م,M,أَفْعَالٌ
30003,3,plural_pair,أَبْوَابٌ,문들,بَابٌ,ب-و-ب,M,أَفْعَالٌ
30004,3,plural_pair,رِجَالٌ,남자들,رَجُلٌ,ر-ج-ل,M,فِعَالٌ
30005,3,plural_pair,أَوْلَادٌ,소년들,وَلَدٌ,و-ل-د,M,أَفْعَالٌ
30006,3,plural_pair,مُدُنٌ,도시들,مَدِينَةٌ,م-د-ن,F,فُعُلٌ
30007,3,plural_pair,بُيُوتٌ,집들,بَيْتٌ,ب-ي-ت,M,فُعُولٌ
30008,3,plural_pair,جِبَالٌ,산들,جَبَلٌ,ج-ب-ل,M,فِعَالٌ
30009,3,plural_pair,أَنْهَارٌ,강들,نَهْرٌ,ن-ه-ر,M,أَفْعَالٌ
30010,3,plural_pair,طُلَّابٌ,학생들,طَالِبٌ,ط-ل-ب,M,فُعَّالٌ
30011,3,plural_pair,دُرُوسٌ,수업들,دَرْسٌ,د-ر-س,M,فُعُولٌ
30012,3,plural_pair,أَشْجَارٌ,나무들,شَجَرَةٌ,ش-ج-ر,F,أَفْعَالٌ
30013,3,plural_pair,عُيُونٌ,눈들 / 샘들,عَيْنٌ,ع-ي-ن,F,فُعُولٌ
30014,3,plural_pair,أَصْدِقَاءُ,친구들,صَدِيقٌ,ص-د-ق,M,أَفْعِلَاءُ
30015,3,plural_pair,بِلَادٌ,나라들,بَلَدٌ,ب-ل-د,M,فِعَالٌ
30016,3,plural_pair,قُلُوبٌ,심장들,قَلْبٌ,ق-ل-ب,M,فُعُولٌ
30017,3,plural_pair,مَفَاتِيحُ,열쇠들,مِفْتَاحٌ,ف-ت-ح,M,مَفَاعِيلُ
30018,3,plural_pair,مَسَاجِدُ,모스크들,مَسْجِدٌ,س-ج-د,M,مَفَاعِلُ
30019,3,plural_pair,طُرُقٌ,길들,طَرِيقٌ,ط-ر-ق,M,فُعُلٌ
30020,3,plural_pair,عُلَمَاءُ,학자들,عَالِمٌ,ع-ل-م,M,فُعَلَاءُ
30021,3,plural_pair,جُنُودٌ,군인들,جُنْدِيٌّ,ج-ن-د,M,فُعُولٌ
30022,3,plural_pair,أَسْوَاقٌ,시장들,سُوقٌ,س-و-ق,M,أَفْعَالٌ
30023,3,plural_pair,سُفُنٌ,배들,سَفِينَةٌ,س-ف-ن,F,فُعُلٌ
30024,3,plural_pair,نُجُومٌ,별들,نَجْمٌ,ن-ج-م,M,فُعُولٌ
30025,3,plural_pair,أَجْسَامٌ,몸들,جِسْمٌ,ج-س-م,M,أَفْعَالٌ
30001,3,plural_pair,كُتُبٌ,책들,كِتَابٌ,ك-ت-ب,M,فُعُل
30002,3,plural_pair,أَقْلَامٌ,펜들,قَلَمٌ,ق-ل-م,M,أَفْعَال
30003,3,plural_pair,رِجَالٌ,남자들,رَجُلٌ,ر-ج-ل,M,فِعَال
30004,3,plural_pair,بُيُوتٌ,집들,بَيْتٌ,ب-ي-ت,M,فُعُول
30005,3,plural_pair,مُدُنٌ,도시들,مَدِينَةٌ,م-د-ن,F,فُعُل
30006,3,plural_pair,طُلَّابٌ,학생들,طَالِبٌ,ط-ل-ب,M,فُعَّال
30007,3,plural_pair,جِبَالٌ,산들,جَبَلٌ,ج-ب-ل,M,فِعَال
30008,3,plural_pair,بِحَارٌ,바다들,بَحْرٌ,ب-ح-ر,M,فِعَال
30009,3,plural_pair,أَشْجَارٌ,나무들,شَجَرَةٌ,ش-ج-ر,F,أَفْعَال
30010,3,plural_pair,أَوْلَادٌ,소년들,وَلَدٌ,و-ل-د,M,أَفْعَال
30011,3,plural_pair,أَصْدِقَاءُ,친구들,صَدِيقٌ,ص-د-ق,M,أَفْعِلَاء
30012,3,plural_pair,أَطْعِمَةٌ,음식들,طَعَامٌ,ط-ع-م,M,أَفْعِلَة
30013,3,plural_pair,رَسَائِلُ,메시지들,رِسَالَةٌ,ر-س-ل,F,فَعَائِل
30014,3,plural_pair,عَوَاصِمُ,수도들,عَاصِمَةٌ,ع-ص-م,F,فَوَاعِل
30015,3,plural_pair,عُلَمَاءُ,학자들,عَالِمٌ,ع-ل-م,M,فُعَلَاء
30016,3,plural_pair,مَفَاتِيحُ,열쇠들,مِفْتَاحٌ,ف-ت-ح,M,مَفَاعِيل
30017,3,plural_pair,مَرْضَى,환자들,مَرِيضٌ,م-ر-ض,M,فَعَالَى
30018,3,plural_pair,بُلْدَانٌ,나라들,بَلَدٌ,ب-ل-د,M,فُعْلَان
30019,3,plural_pair,أَنْهَارٌ,강들,نَهْرٌ,ن-ه-ر,M,أَفْعَال
30020,3,plural_pair,جِيرَانٌ,이웃들,جَارٌ,ج-و-ر,M,فِعْلَان
30021,3,plural_pair,أَسْوَاقٌ,시장들,سُوقٌ,س-و-ق,M,أَفْعَال
30022,3,plural_pair,قُرًى,마을들,قَرْيَةٌ,ق-ر-ي,F,فُعَل
30023,3,plural_pair,مَكَاتِبُ,사무실들/책상들,مَكْتَبٌ,ك-ت-ب,M,مَفَاعِل
30024,3,plural_pair,دُوَلٌ,국가들,دَوْلَةٌ,د-و-ل,F,فُعَل
30025,3,plural_pair,حَدَائِقُ,정원들,حَدِيقَةٌ,ح-د-ق,F,فَعَائِل
30001,3,plural_pair,كُتُبٌ,책들,كِتَابٌ,ك-ت-ب,M,فُعُل
30002,3,plural_pair,أَقْلَامٌ,펜들,قَلَمٌ,ق-ل-م,M,أَفْعَال
30003,3,plural_pair,أَبْوَابٌ,문들,بَابٌ,ب-و-ب,M,أَفْعَال
30004,3,plural_pair,رِجَالٌ,남자들,رَجُلٌ,ر-ج-ل,M,فِعَال
30005,3,plural_pair,جِبَالٌ,산들,جَبَلٌ,ج-ب-ل,M,فِعَال
30006,3,plural_pair,مَسَاجِدُ,모스크들,مَسْجِدٌ,س-ج-د,M,مَفَاعِل
30007,3,plural_pair,مَكَاتِبُ,사무실들,مَكْتَبٌ,ك-ت-ب,M,مَفَاعِل
30008,3,plural_pair,رَسَائِلُ,편지들,رِسَالَةٌ,ر-س-ل,F,فَعَائِل
30009,3,plural_pair,مُدُنٌ,도시들,مَدِينَةٌ,م-د-ن,F,فُعُل
30010,3,plural_pair,عُلَمَاءُ,학자들,عَالِمٌ,ع-ل-م,M,فُعَلَاء
30011,3,plural_pair,طُلَّابٌ,학생들,طَالِبٌ,ط-ل-ب,M,فُعَّال
30012,3,plural_pair,شُعَرَاءُ,시인들,شَاعِرٌ,ش-ع-ر,M,فُعَلَاء
30013,3,plural_pair,كِبَارٌ,큰 것들,كَبِيرٌ,ك-ب-ر,M,فِعَال
30014,3,plural_pair,صِغَارٌ,작은 것들,صَغِيرٌ,ص-غ-ر,M,فِعَال
30015,3,plural_pair,مَرْضَى,환자들,مَرِيضٌ,م-ر-ض,M,فَعْلَى
30016,3,plural_pair,قَتْلَى,희생자들,قَتِيلٌ,ق-ت-ل,M,فَعْلَى
30017,3,plural_pair,جُنُودٌ,군인들,جُنْدِيٌّ,ج-ن-د,M,فُعُول
30018,3,plural_pair,بُيُوتٌ,집들,بَيْتٌ,ب-ي-ت,M,فُعُول
30019,3,plural_pair,أَنْهَارٌ,강들,نَهْرٌ,ن-ه-ر,M,أَفْعَال
30020,3,plural_pair,أَوْلَادٌ,아이들,وَلَدٌ,و-ل-د,M,أَفْعَال
30021,3,plural_pair,أَصْدِقَاءُ,친구들,صَدِيقٌ,ص-د-ق,M,أَفْعِلَاء
30022,3,plural_pair,دُوَلٌ,국가들,دَوْلَةٌ,د-و-ل,F,فُوَل
30023,3,plural_pair,جُزُرٌ,섬들,جَزِيرَةٌ,ج-ز-ر,F,فُعُل
30024,3,plural_pair,قَوَاعِدُ,규칙들,قَاعِدَةٌ,ق-ع-د,F,فَوَاعِل
30025,3,plural_pair,أَطْعِمَةٌ,음식들,طَعَامٌ,ط-ع-م,M,أَفْعِلَة
30001,3,plural_pair,أَقْلَامٌ,펜들,قَلَمٌ,ق-ل-م,M,أَفْعَالٌ
30002,3,plural_pair,كُتُبٌ,책들,كِتَابٌ,ك-ت-ب,M,فُعُلٌ
30003,3,plural_pair,رِجَالٌ,남자들,رَجُلٌ,ر-ج-ل,M,فِعَالٌ
30004,3,plural_pair,بُيُوتٌ,집들,بَيْتٌ,ب-ي-ت,M,فُعُولٌ
30005,3,plural_pair,طُلَّابٌ,학생들,طَالِبٌ,ط-ل-ب,M,فُعَّالٌ
30006,3,plural_pair,مُدُنٌ,도시들,مَدِينَةٌ,م-د-ن,F,فُعُلٌ
30007,3,plural_pair,جِبَالٌ,산들,جَبَلٌ,ج-ب-ل,M,فِعَالٌ
30008,3,plural_pair,أَنْهَارٌ,강들,نَهْرٌ,ن-ه-ر,M,أَفْعَالٌ
30009,3,plural_pair,أَوْلَادٌ,소년들,وَلَدٌ,و-ل-د,M,أَفْعَالٌ
30010,3,plural_pair,أَبْوَابٌ,문들,بَابٌ,ب-و-ب,M,أَفْعَالٌ
30011,3,plural_pair,أَشْجَارٌ,나무들,شَجَرَةٌ,ش-ج-ر,F,أَفْعَالٌ
30012,3,plural_pair,أَصْدِقَاءُ,친구들,صَدِيقٌ,ص-د-ق,M,أَفْعِلَاءُ
30013,3,plural_pair,أَطِبَّاءُ,의사들,طَبِيبٌ,ط-ب-ب,M,أَفْعِلَاءُ
30014,3,plural_pair,عُلَمَاءُ,학자들,عَالِمٌ,ع-ل-م,M,فُعَلَاءُ
30015,3,plural_pair,فُقَرَاءُ,가난한 사람들,فَقِيرٌ,ف-ق-ر,M,فُعَلَاءُ
30016,3,plural_pair,مَسَاكِينُ,불쌍한 사람들,مِسْكِينٌ,س-ك-ن,M,مَفَاعِيلُ
30017,3,plural_pair,مَفَاتِيحُ,열쇠들,مِفْتَاحٌ,ف-ت-ح,M,مَفَاعِيلُ
30018,3,plural_pair,مَسَاجِدُ,모스크들,مَسْجِدٌ,س-ج-د,M,مَفَاعِلُ
30019,3,plural_pair,مَكَاتِبُ,사무실들/책상들,مَكْتَبٌ,ك-ت-ب,M,مَفَاعِلُ
30020,3,plural_pair,دُرُوسٌ,수업들,دَرْسٌ,د-ر-س,M,فُعُولٌ
30021,3,plural_pair,بِلَادٌ,나라들,بَلَدٌ,ب-ل-د,M,فِعَالٌ
30022,3,plural_pair,قُرًى,마을들,قَرْيَةٌ,ق-ر-ي,F,فُعَلٌ
30023,3,plural_pair,عُيُونٌ,눈들/샘들,عَيْنٌ,ع-ي-ن,F,فُعُولٌ
30024,3,plural_pair,أَسْوَاقٌ,시장들,سُوقٌ,س-و-ق,M,أَفْعَالٌ
30025,3,plural_pair,صُفُوفٌ,반들/줄들,صَفٌّ,ص-ف-ف,M,فُعُولٌ
