id,level,type,arabic_text,korean_meaning,root,form,pattern
70001,7,vocabulary,اِجْتَمَعَ,"모이다, 회의하다",ج-م-ع,8,اِفْتَعَلَ
70002,7,vocabulary,اِعْتَمَدَ,"의지하다, 신뢰하다",ع-م-د,8,اِفْتَعَلَ
70003,7,vocabulary,اِتَّصَلَ,"연락하다, 연결하다",و-ص-ل,8,اِفْتَعَلَ
70004,7,vocabulary,اِكْتَشَفَ,발견하다,ك-ش-ف,8,اِفْتَعَلَ
70005,7,vocabulary,اِنْتَظَرَ,기다리다,ن-ظ-ر,8,اِفْتَعَلَ
70006,7,vocabulary,اِشْتَرَكَ,"참여하다, 구독하다",ش-ر-ك,8,اِفْتَعَلَ
70007,7,vocabulary,اِسْتَمَعَ,듣다,س-م-ع,8,اِفْتَعَلَ
70008,7,vocabulary,اِخْتَلَفَ,"다르다, 의견이 다르다",خ-ل-ف,8,اِفْتَعَلَ
70009,7,vocabulary,اِعْتَقَدَ,"믿다, 생각하다",ع-ق-د,8,اِفْتَعَلَ
70010,7,vocabulary,اِمْتَحَنَ,"시험하다, 검사하다",م-ح-ن,8,اِفْتَعَلَ
70011,7,vocabulary,اِنْتَقَلَ,"이동하다, 옮기다",ن-ق-ل,8,اِفْتَعَلَ
70012,7,vocabulary,اِبْتَكَرَ,"혁신하다, 창조하다",ب-ك-ر,8,اِفْتَعَلَ
70013,7,vocabulary,اِكْتَسَبَ,"얻다, 습득하다",ك-س-ب,8,اِفْتَعَلَ
70014,7,vocabulary,اِتَّخَذَ,"취하다, 채택하다",أ-خ-ذ,8,اِفْتَعَلَ
70015,7,vocabulary,اِدَّعَى,"주장하다, 청구하다",د-ع-و,8,اِفْتَعَلَ
70016,7,vocabulary,اِضْطَرَبَ,"혼란스러워하다, 동요하다",ض-ر-ب,8,اِفْتَعَلَ
70017,7,vocabulary,اِطَّلَعَ,"알아보다, 통찰하다",ط-ل-ع,8,اِفْتَعَلَ
70018,7,vocabulary,اِحْتَفَلَ,축하하다,ح-ف-ل,8,اِفْتَعَلَ
70019,7,vocabulary,اِحْتَرَمَ,존경하다,ح-ر-م,8,اِفْتَعَلَ
70020,7,vocabulary,اِشْتَهَرَ,유명해지다,ش-ه-ر,8,اِفْتَعَلَ
